"Name","SamAccountName","Department","Title","Enabled","LastLogonDate","PasswordLastSet"
"Ari Bennett","abennett","IT","IT Support Technician","True",,
"Maya Santos","msantos","IT","IT Support Manager","True",,
"Jordan Kim","jkim","Product Support","Product Support Specialist","True",,
"Leah Rodriguez","lrodriguez","Product Support","Product Support Lead","True",,
"Noah Patel","npatel","Client Success","Client Success Associate","True",,
"Tina Nguyen","tnguyen","Client Success","Client Success Manager","True",,
"Kara Lee","klee","Finance","Finance Manager","True",,
"Evan Miller","emiller","Implementation","Implementation Specialist","True",,
"Hannah Chen","hchen","Implementation","Implementation Manager","True",,
"Riley Moore","rmoore","Product Support","Application Support Analyst","True",,
"Chris Davis","cdavis","IT","Desktop Support Technician","True",,
